"Title";"Saga";"Genre";"Synopsis"
"Metal Slug 2 - Super Vehicle - 001/II";"Metal Slug";"action";"As Marco, Eri, Tarma, or Fio, you must defeat the evil General Morden and his henchman. To do this, you must defeat various enemies that get in your way. Throughout the game, you can collect new weapons including the Heavy Machine Gun, Shot Gun, Rocket Launcher, Flame Shot, Laser Shot, Flame Bottles, and Armor Piercer. Also scattered throughout the game, you can ride in four different vehicles (aka: Slugs) such as the Metal Slug, Slug Flyer, Camel Slug, and SlugNoid. By using these vehicles, you can cause awesome destruction against Morden's evil army. Other items such as energy, extra ammunition, and food (eat too much and your player will gain weight) are also found throughout the game."
"Metal Slug X";"Metal Slug";"action";"Metal Slug X is an enhanced version of Metal Slug 2: Super Vehicle - 001/II. The main differences to the original release include: additional weapons, additional power-ups, items, and prisoners in most of the levels, additional times of the day, some of the locations and vehicles in the game have been altered, increased enemy count..."
"The Simpsons - Bart vs. the Space Mutants";"";"platforms";"Bart vs. The Space Mutants is a platform game where the player goes into the role of Bart Simpson (from the TV show The Simpsons) and must stop the Space Mutants from invading Springfield. On each of the five levels, Bart must collect (or get rid of) the ingredients that the Space Mutants are planning to use to build their machine, such as purple objects or balloons. He also has to collect enough ""proof"" of the aliens existence (brown coins left behind when they are jumped on), so his family members will help him when he meets a boss (characters such as Nelson and Sideshow Bob). This won't be easy since the Space Mutants are ""using"" human bodies as disguise. In order to discover who are the real Space Mutants, Bart must use his X-ray Specs., "
"U.N. Squadron";"";"shooter";"Side-scrolling shoot-em-up, in a similar style to such games as Gradius, R-Type and Scramble. The aim is to wipe out the enemy, which has gathered around the allied airspace of ""Area 88"", in a series of military aircraft-based scenarios. You choose one of three unique pilots; Shin Kazama, Micky Schymon or Greg Gates, each with varying abilities at damage repair, weapon handling and flying skill, and engage the enemy over a series of challenging missions. "
"Radical Rex";"";"platforms";"Radical Rex is a fire-breathing Tyrannosaurus on a skateboard who has to save the dinosaur race under the spell of an evil creature. The game consists of 10 levels set in the prehistoric age. Radical Rex can use a skateboard or glide down hills, jump, kick and breath fire. Tougher enemies need multiple hits and when burnt Rex needs to kick them once more to destroy them or use his scream (hits everything on the screen). While playing Rex collects eggs, health, power-ups for his fire breath and scream refills. Checkpoints are shown as torches that need to be charged with fire. After each level, there is a Bomberman-like sequence to earn an extra continue. Enemies include flies, turtles, toads and all kinds of dinosaurs."
"Wonder Boy III - Monster Lair";"Wonder Boy";"action, platforms";"Wonder Boy III: Monster Lair is a quite different game to most of the games in the Wonder Boy series. You play a green-haired dude who must attack the invaders that attempt to collect weapons and use them to destroy the land. The game starts out like a simple platform game, but it's just when Wonder Boy enters the skull further on that the game is transformed into a shoot 'em up, so basically the gameplay consists of action and shooter scenes."
"Populous";"Populous";"strategy";"You play a god, gaming against other gods in a celestial game of conquest. To win, you must help your chosen people take over the world and wipe out the vermin who worship that other god. Each god starts out with a single human, dumped into the middle of the wilderness. Sometimes there is inhabitable land in sight, sometimes not. To get a chance to win, you must change the landscape, creating flat land for your followers to build on. The more followers you have, the more powerful you will be, so take care of them. Build as fast as you can, because the other god is doing the same."
"8 Eye's";"";"action";"8 Eyes chronicles the adventures of Orin, the falconer, who must visit 8 different houses in 8 different lands and defeat 8 different guardians in order to collect 8 different jewels called eyes. It is a side-scrolling action/adventure game where the lead character can attack with a sword of somewhat limited reach. However, that is not the most powerful tool at his disposal - Orin also has his trusty falcon that he can send around the room to attack enemies or trigger remote switches. In single-player mode, the player controls both the falconer and the falcon. However, the game also offers a cooperative mode where the first player controls Orin and the second player controls his falcon in a mode which offers greater flight capability."
"The Goonies";"The Goonies";"platforms";"The Goonies is based on a movie of the same name from 1985. A group of youngsters from a neighborhood called the ""Goon Docks"" are trying to find the lost treasure of One-Eyed Willie to prevent the foreclosure of their houses. Unfortunately, the treasure is buried under the hide-out of the infamous Fratelli gang, a family of ruthless criminals who are on the run from the law. You play as the asthmatic Mikey, who must find the treasure and save the other Goonies before time runs out."
"DJ Boy";"";"brawler";"Skating DJ Boy's girl has been kidnapped by the town's local goons and DJ Boy is the only one who can save the day. DJ Boy is able to punch, kick, combine them in a flying attack and punch to both sides at the same time by pressing the main attack buttons. Although the visuals are less rough and friendlier than its contemporary counterparts, the difficulty is very unforgiving. DJ Boy has only four life bars and when they are gone, the game is over without continues. Defeated enemies leave behind coins. At the end of each stage the coins can be exchanged for a skateboard, a stronger punch or other items."
"Zero Wing";"";"shooter";"Zero Wing is an horizontal shooter game where the player is in control of a ZIG, an escape pod released after its main ship was attacked and destroyed by the evil cyborg CATS, bent on taking over the world."
"Phantasy Star";"Phantasy Star";"role play";"Algol is a star system that consists of three planets: the green Palma, the arid Motavia, and the icy Dezolis. Recently, the formerly benevolent king Lassic converted to a new religion and begins to rule Algol with an iron fist. Nero, the leader of a rebel group, is brutally killed by Lassic's robotic policemen. His last words were addressed to his sister Alis: he implores her to find a warrior named Odin. Alis swears revenge against Lassic and embarks on a journey to find Odin and other companions who would help her defeat the tyrant. , "
"Hellfire";"";"shooter";"In the year 2998, humanity has finally reached the stars, and was able to build a prosperous, peaceful society. However, a space matter known as the Black Nebula began to spread, threatening to engulf the galaxies controlled by humans. It turned out that a robotic dictator named Super Mech was behind this occurrence. The Earth sends Captain Lancer, a skillful pilot navigating the powerful CNCS1 aircraft, equipped with the most powerful weapon: the Hellfire..."
"Hudson Hawk";"";"platforms";"In this platformer based on the 1991 comedy/action film of the same name, the player takes on the role of Eddie Hawkins, known as ""Hudson Hawk,"" the world's greatest cat burglar. After ten years in prison for a robbery of a government installation gone wrong, Eddie is released, intending to go straight and retire. Unfortunately, fate has other plans."
"Last Battle";"";"action";"Last Battle is a side-scrolling beat-em-up game in which the player takes control of a martial artist named Aarzak who must single-handedly (and -footedly) defeat the lackeys of an evil fighter called Duke, and eventually stand against three generals who have kidnapped his girlfriend. The hero fights using punches and kicks, combining these moves with jumping and crouching. He also has a special power meter that refills over the time. When the power meter is full, Aarzak gains a boost that allows him to perform rapid attacks for the rest of the stage. , "
"Populous II - Trials of the Olympian Gods";"Populous";"strategy";"In ""Populous II"", you're an unproven immortal who must fight your way through an entire pantheon of Greek gods, each with his or her own strategy and attacks, and ultimately enter into a showdown with Zeus himself."
"Double Dragon III - The Sacred Stones";"Double Dragon";"brawler";"A year after the events of Double Dragon II: The Revenge, the Supreme Black Shadow Sensei and his Black Shadow Warriors lay defeated. Life has returned to normality for Billy Lee who is now running a dojo training students in the field of martial arts. However, one day when Billy is away, the dojo is attacked and Marion is kidnapped. A soothsayer named Hiruko has information on Marion's disappearance: She claims the kidnappers will release Marion in exchange for the three sacred stones of power. Hiruko knows the locations of the stones, but they are located all over the earth."
"Double Dragon 3 - The Rosetta Stone";"Double Dragon";"brawler";"Billy and Jimmy Lee are returning from martial arts training when their paths cross a fortune teller. She tells them of a great evil in Egypt, their strongest adversary yet, and how the Rosetta Stones can aid them."
"Ristar";"";"platforms";"The evil tyrant Greedy has arisen to control a solar system full of sentient beings. He has corrupted the leaders of each world and thereby enslaved the entire populace. He has also sent his minions in the disguise of planet natives into the worlds to enforce his rule. A lush forest planet, the last planet in the tyrants agenda manages to send a call of help to the solar systems little ancient hero before being over run. However, Greedy has even managed to remove the great hero. Yet, he did not count on the interference of the hero's sun, Ristar."
"Klax";"";"puzzle";"An action/puzzle game, the object is to catch assorted color falling tiles and create rows, columns, or diagonals of a single color. Each level requires a different pattern to be made, and the tiles fall faster, more at a time, and in an increasing number of colors as the game progresses."
"Joust";"";"action";"In Joust, players take control of a knight with a lance who rides their flying ostrich (or stork, for Player 2) to do battle against computer-controlled evil knights who ride atop vultures."
"Sonic The Hedgehog Spinball";"Sonic The Hedgehog";"pinball";"The evil doctor Robotnik has a new plan to take over the world. He has built a new weapon, the Veg-O-Fortress on Mount Mobius and with it, he is transforming all creatures into robots. Sonic sneaks into the fortress and tries to stop Robotnik."
"Ishido - The Way of Stones";"";"puzzle";"Ishido is a solitaire board game played with tiles, similar to Shanghai. The objective is to place all of the tiles onto the board and obtain the highest possible score by following specific rules of play. There are ways to play that can dramatically increase the score, which makes the game very strategic in nature. Additionally, when desired, the player can get an oracle reading by asking a question, which is answered when the player makes a very elegant play (four-way match)."
"Push-Over";"";"puzzle";"You're playing a small ant that is willing to help a friend in rather inconvenient situation. Apparently, your friend, doggie, likes to eat cookies that has his picture on their box, and he got himself so carried away that he lost the balance, and a bag of cookies fell deep down into an ant-hill. Now, you're goin' in, in a mission of solving puzzles, and retrieving the cookies for your friend. Now, this ant-hill is a bit different from the ones you saw, and especially from the one you live in. It's path is filled up with boulders, and all the gates, and you must travel the quest to find the cookies. After each different place inside, you'll fins a small bag of cookie, and bring it back to your friend doggie."
"Heroes of the Lance";"";"role play";"Based on the later parts of the Dragonlance book Dragons of Autumn Twilight, the heroes descend into a ruined city in search of the disks of Mishakal. The gameplay consists of horizontal fighting with a maze like map using doors to change the view. The party consists of the 8 Heroes of the Lance, using one at a time and the player can switch between them at any time. Each character has different types of attacks and spells making them more suited to fighting different enemies as well as acting as lives."
"Gradius III";"Gradius";"shooter";"As with most Gradius titles, you control the highly advanced Vic Viper space fighter against hordes of foes. Weapons can be selected from pre-arranged loadouts or you can create your own custom loadout. The game can be played by a single player, or by two players in alternating turns. The game offers three levels of difficulty."
"The New Zealand Story";"";"platforms";"One day, a kiwi tribe was having fun and games outside the zoo, only to be kidnapped by the evil-minded Leopard Seal, who plans to sell them at the black market. Fortunately, during the kidnapping process, Tiki, leader of the tribe, managed to escape the sack, and her job is to rescue Phee-Phee and the other kiwis scattered around New Zealand, and are held in cages in various locations that include Auckland, Rotorua, Waitomo Caves, Strait Cook, and Mt. Cook. "
"Frogger";"";"action";"Your task in this arcade game is to guide a frog across a treacherous road and river, and to safety at the top of the screen. Both these sections are fraught with a variety of hazards, each of which will kill the frog and cost you a life if contact is made. The road is full of cars and trucks, at variable speeds. The river water itself is fatal, as are the snakes which hover within on later levels. Frogger must use the arrangement of logs, turtles (which are only there for a short time) and alligators (but stay away from their faces), and then jump into one of the open home-cells, ideally one containing a fly for extra points. Once all holes have been filled, you move onto the next, harder, level."
"Heavy Barrel";"";"shooter";"Heavy Barrel is a shooter with a top-down view similar to Commando and Ikari Warriors. Terrorists have seized the underground control complex of a nuclear missile site. It is up to the player to infiltrate the installation and eliminate the leader of the terrorist army before they can launch the missiles. To stop the terrorists you will need the powerful weapon Heavy Barrel. The problem is that the weapon still is in the installation. Before the fortress fell the weapon was taken apart and locked in six different storage lockers. To defeat the terrorists you must collect all keys and reassemble the weapon. The game supports co-op for two players."
"Midnight Resistance";"";"action";"The Midnight Resistance fighters are up against the awesome powers of mad scientist King Crimson and his Crimson Corps. Crimson has kidnapped your scientist grandfather and five more of your relatives, and aims to put his advanced plans to evil use. Take control of a Resistance fighter in this scrolling shoot 'em up consisting of nine platform-based levels, each ending with a Boss to defeat. Your enemies appear on foot and in vehicles, and Crimson has also planted machine gun bays en route. "
"Vampire Savior - The Lord of Vampire";"Darkstalkers";"vs. fighting";"Jedah, the ""Lord of Vampire"", has summoned all of the Night Warriors to his realm to be assimilated into his being. Of course, this serves as a great excuse to have more one-on-one fights..."
"BioMetal";"";"shooter";"BioMetal is a fast-paced, side-scrolling shooter game. The war that divided the galaxy and used all its resources has ended. A fleet was sent on a mission to find more natural resources. They never returned. Their last transmission reveals that the enemy created one last experiment, a combination of the aggressive nature of animals and the efficiency of machines named BioMetal."
"First Samurai";"";"action";"The Demon King descends from his mountain domain to you, the First Samurai and your master. Defenceless against the Demon's magic, you succumb to his powers, leaving the your Master to fight the Demon King alone. Your master falls in combat, dying. But, with his last breath, he summons the Wizard Mage. The Demon King fearing defeat, escapes to the future. Tormented, the young samurai seeks the teachings of the Wizard Mage in the ways of magic. Boiled with revenge and armed with a magical sword, the young samurai follows the Demon King into the future and the unknown..."
"Addams Family Values";"";"action";"The evil Debbie Jelinksi is harming the Addams family once again... She has kidnapped Baby Pubert, and Uncle Fester is the one who must find him and to bring him back to his loving family. The game is based on the live-action movie of the same name."
"Fire Shark";"Flying Shark";"shooter";"Fire Shark takes place around a small island in the South Pacific. It is a continuously-scrolling aerial shooter with a top-down view. Your World War II era biplane has been modified to shoot lasers and drop powerful bombs. There are ten levels in the game in which you will face aerial, aquatic, and ground enemies. They all fire scores of missiles at you in an attempt to knock you from the sky. In between levels, your plane will land on a runway for refueling and maintenance. You will receive bonus points for the number of bombs left in your hold and the number of lightning bolt icons you picked up in the prior level."
"Excitebike";"Excitebike";"racing";"Race by yourself against the clock or compete with other motocross riders on 5 tracks full of long straights, large jumps and obstacles to win the Excitebike championship. Create your own tracks by placing jumps and obstacles of all different sizes and shapes on the track and choosing how many laps each race will have, then race against the clock or other riders to see how your track fares in competition."
"Shadow Dancer";"Shinobi";"action";"Shadow Dancer is a one-player game in which you control Shinobi. With the help of your dog, you must kill your enemies while you venture through locations such as airports, railroads, waterfalls, sewers, and more. Furthermore, you must find and disarm several bombs along the way before you leave each. You also have the option of using magic against enemies, which may consist of tornadoes or fireballs."
"Teenage Mutant Ninja Turtles";"Teenage Mutant Ninja Turtles";"brawler";"April O'Neil, the reporter friend of the Teenage Mutant Ninja Turtles, is kidnapped by the villainous Shredder and his two goons, Bebop and Rocksteady. The four ninja turtles: Raphael, Michelangelo, Donatello and Leonardo fight their way through hordes of Foot Soldiers in order to rescue April. They battle familiar foes such as the mad scientist Baxter Stockman, General Traag from Dimension X and the evil alien brain Krang, up to the final showdown with Shredder himself."
"Teenage Mutant Ninja Turtles - Turtles in Time";"Teenage Mutant Ninja Turtles";"brawler";"Doesn't this Shredder dude ever take a break? Now he's gone and kidnapped Channel 6's own reporter babe April O' Neill again, and just as the Ninja Turtles were about to kick his butt, he tore open some kinda time portal thingy and flung them back into the past! Now Leonardo, Raphael, Donatello, and Michaelangelo have to fight their way through time and tons of Foot Soldiers, mutant wackos, and more in order to save April and slam Shredder's butt all the way to Dimension X! Go, Turtles! Kick some shell and save April!"
"Thunder Force II";"Thunder Force";"shooter";"Thunder Force II is both a side scrolling and top down shooter. In the game you control a ship. In some stages the action is side scrolling and in others it is top down (overhead). The weapons systems is fairly basic. You can switch from shooting a more powerful weapon straight ahead or two less powerful guns shooting forward and backward simultaneously. There are various power-ups that improve your fire power."
"Raiden Fighters Jet";"Raiden";"shooter";"Raiden Fighters Jet is a 2D vertical-scrolling shooter, the last game in Raiden Fighters sub-series. The story is non-typical - the game is just a advanced simulation program and the player tests combat skills. He chooses one from 14 planes (all available in previous games come back). Gameplay is quite typical - fly forward, collect medals, shoot various enemies, and destroy bosses, but the difficulty level depends on player's skills - the last mission (""Real Mission"") can be reached only without using ""continue""."
"Insector X";"";"shooter";"Mecha Insect forces collide in this side-scrolling shooter, set in a garden, passing buildings and other scenery. Fight wasps, bees and flies to decide the fate of the back yard. There are three skill levels, with more enemies on the higher ones, and each level ends with a boss. As well as your main weapon, who can collect power-up tokens for special weapons, which are made available randomly."
"Mortal Kombat 3";"Mortal Kombat";"vs. fighting";"Shao Kahn has won. The Earthrealm is no more. In order to revive his Queen Sindel, the emperor Shao Kahn used the Outworld Tournament from Mortal Kombat 2 as a diversion while his Shadow Priests revive his fallen Queen on Earth. Once enacted, the dimensional bridge between the two realms connects, allowing Kahn's extermination squads to invade and destroy Earth, and enslave the population's souls. A small team of Raiden's ""Chosen Warriors"" survives the attack: Mortal Kombat champion Liu Kang and his ally Kung Lao, Special Forces agents Sonya Blade and Jax, the shaman Nightwolf, the riot cop Stryker, the nomadic Kabal, and former Lin Kuei warrior Sub-Zero, who has gone rogue from his clan. Facing the warriors are the mercenary Kano, cyber-ninjas Smoke, Sektor and Cyrax, Sheeva, a female Shokan, the sorcerer Shang Tsung, and Queen Sindel herself."
"Spyro The Dragon";"";"platforms";"The evil Gnasty Gnorc has turned all the dragons in the Dragon Lands into crystal. He has also stolen the dragons' gems by locking them up in chests or turning them into soldiers for his army. But he forgot about one little dragon: Spyro. Now Spyro has to travel through the dragon kingdom and free all the dragons from their crystal prison, recover the dragons' gems and defeat Gnasty Gnorc. "
"Zombie Hunter";"";"action, role play";"The city of Palma has always been protected by the spirits of the four elements. However, Dolgo, the spirit of the earth, revolts and makes off with the Life Seeker, the controller of the world's life energies, to his underground lair. In doing so, the people of Palma begin to lose their very souls. The spirit of the air has ordered that a champion needs to be found, to retrieve the Life Seeker from the clutches of Dolgo. You are that champion."
"Rolling Thunder 2";"Rolling Thunder";"action";"A terrorist group has taken out the world information flow and, as either a guy named Albert Ross or a woman named Leila, you must stop them. You can also get weapons that pack more of a punch than your ordinary hand gun."
"The Legend of Zelda - Ocarina of Time";"The Legend of Zelda";"adventure";"A young boy named Link was raised in the village of the elf-like Kokiri people. One day a fairy named Navi introduces him to the village's guardian, the Great Deku Tree. It appears that a mysterious man has cursed the tree, and Link is sent to the Hyrule Castle to find out more. Princess Zelda tells Link that Ganondorf, the leader of the Gerudo tribe, seeks to obtain the Triforce, a holy relic that grants immense power to the one who possesses it. Link must do everything in his power to obtain the Triforce before Ganondorf does, and save Hyrule."
"Phalanx";"";"shooter";"A futuristic shooter, Phalanx is the name of the prototype starfighter flown by Wink Baufield, a genetically enhanced pilot. It is sent to protect and reclaim Delia IV, a planet in the Andromeda galaxy, which has been colonized by humans for interstellar research purposes. However, an unknown and powerful alien force has overtaken the planet, the military defenses have been completely overwhelmed, and all hope rests on the Phalanx."
"Raiden DX";"Raiden";"shooter";"Raiden DX is an arcade shoot'em up. The game features similar vertically scrolling shooter gameplay as in its predecessors Raiden and Raiden II. The player controls a jet fighter and blasts his way through various stages which are divided into levels. When destroying buildings and enemies the player can collect power-ups to gain better weapons, bombs, missiles and score extra points. There are three stages, Practice, Novice and Expert. Practice features one level only. Novice features 5 levels and Expert features 8 levels, including remixed versions of the Novice and Practice levels. At the end of each level the player has to defeat a level boss."
"Breath of Fire II";"Breath of Fire";"role play";"Ryu was a young boy who has memories of a strange village far away and a magical doorway which sucked him through. However those are only distant memories. Ryu and his best friend Bow are apprentices in the Ranger's Guild. As adventurers they take on posted jobs needed by the townspeople. However it isn't long before one job goes awry and Bow is accused of stealing a valuable item. In order to clear his friend's name and find the meaning of his dreams, Ryu will explore the world, eventually discovering the meaning of his dreams and hidden abilities inside himself."
"Breath of Fire";"Breath of Fire";"role play";"Long ago in the days of darkness and magic, a young wanderer comes face to face with his destiny. You control the fate of Ryu, a young warrior and descendant of the Light Dragon Clan. Together, with your mystical friend, Nina, you must search for magic spells and mysterious secrets. Along the way, gain experience and skill as you battle against strange monsters. Uncover valuable secrets that will help you on your adventure and unlock the secrets of the Dragon Clan."
"Breath of Fire IV";"Breath of Fire";"role play";"Nina, the princess of Wyndia, and Cray, chieftain of the cat-like Woren tribe, are searching for Cray's relatives who disappeared under mysterious circumstances during a diplomatic mission. Flying through the sky on their sandflier, Nina and Cray are attacked by a worm shaped dragon. With their vehicle damaged, Nina returns to the city to find parts, bumping into a naked young boy named Ryu along the way, who is unsure of where he is. At the very same time, Nina is again attacked by a dragon. Confused by the strange events taking place, Nina agrees to help the young boy. Meanwhile, the ancient Emperor Fou Lu awakens from his slumber in his tomb. His plan is to return to the world of human, conquer it anew, and impose his iron rule on it..., "
"The Combatribes";"";"brawler";"The Combatribes puts you and a friend in the shoes of combat cyborgs Berzeker, Bullova and Blitz as they attempt to defeat the evil crime ring ""Ground Zero"", led by the cybernetically enhanced Martha Splatterhead and her minions."
"WipEout 64";"WipEout";"racing";"WipEout 64 is a follow-up to WipEout XL, taking place one year later (2098). Like other installments in the series, it is a futuristic racing game in which players control hovercrafts and use weapons to damage the opponents' vehicles, trying to finish the race in the first position."
"Puzzle Bobble";"Puzzle Bobble";"puzzle";"Bust-A-Move (also known as Puzzle Bobble) is a real-time puzzle game in which the player controls a device called ""pointer"" at the bottom of the screen, aiming and releasing randomly colored bubbles upwards. Depending on the aiming, the bubbles may float up directly or bounce off the walls, changing their trajectory. The goal is to aim the bubbles in such a way that they will touch identically colored ones. When such bubbles form a group of three or more, they pop and disappear from the screen."
"Puzzle Bobble 2";"Puzzle Bobble";"puzzle";"Bub and Bob are back! Like in Tetris in reverse, you shoot bubbles at an array of different-colored bubbles stuck in an ever descending ceiling, attempting to match them up three by three to make them disappear."
"Puzzle Bobble 3";"Puzzle Bobble";"action, puzzle";"One day, Dunk, the magic magician of Bubble World, releases a spell that transports eight characters from their home worlds to Bubble World. Now it is the player's turn to bring them back home!, "
"Puzzle Bobble 4";"Puzzle Bobble";"action, puzzle";"Bust-A-Move 4 continues the gameplay tradition of the previous game in the series, focusing on releasing colored bubbles and matching them to make them disappear. This installment adds new characters to choose from, as well as a Story mode, where the player wins Tarot cards after each completed stage. In Story mode the player sees the story unfold as he defeats each CPU-controlled character."
"Killer Instinct";"Killer Instinct";"vs. fighting";"In the distant future, a monopolistic and technological corporation called Ultratech organizes a fighting tournament known as ""Killer Instinct"". Many fighters answer the challenge to participate, including several of Ultratech's experimental warriors. To increase the tournament's challenge, Ultratech utilizes a technology that can create bridges between alternate dimensions, releasing a creature known as Eyedol. Eyedol is a two-headed ancient warrior that was imprisoned along with his bitter rival, Gargos. Some warriors enter the tournament to seek glory or escape. Other fighters are attempting to bring an end to Ultratech's corruption. "
"Mario Kart 64";"Mario Kart";"racing";"Mario Kart 64 races eight familiar faces, including Mario, Bowser and Yoshi, on four progressively tougher four-track circuits. Wide curves and gentle banks mark the Mushroom Cup tracks. Your commute gets notably tougher on the Flower Cup, though. The player will have to dodge semis rumbling on Toad's Turnpike and bounding boulders on fogbound Choco Mountain! Star Cup tracks range from the icy surfaces of Sherbet Land to the lava lakes of Bowser's Castle. The true test of karting competence, though, comes on the four tracks in Special Cup. Zip through the dark caves and green hillsides of Donkey Kong's Jungle Parkway, cling to the sheer cliffs of Yoshi Valley and hustle over haunted Banshee Boardwalk before tackling the longest track in the game: neon-lit Rainbow Road. "
"The Punisher";"";"brawler";"Join Frank Castle's crusade for justice and revenge in this arcade beat 'em up. Based on the Marvel comic of the same name, you play as the cold blooded vigilante or his pal Nick Fury (from S.H.I.E.L.D.) with your mission being to tear through the many rackets and underground criminal hotspots to cripple the Kingpin's criminal empire, and finally take down the man himself and bring peace to New York., "
"Final Fight 2";"Final Fight";"brawler";"The Mad Gear gang is back. They have kidnapped Guy's fiancee (Guy was one of the main characters in the original game), her father and Guy's martial arts master Genryusai. The younger sister of Guy's fiancee, Maki, teams up with Mike Haggar and Carlos Miyamoto to take out the Mad Gear gang once and for all. The game is set in various stages around the world., "
"Final Fight 3";"Final Fight";"brawler";"The Mad Gear gang has been destroyed and, because of this, the Skull Cross gang has gone rampant in Metro City. Now, it is up to mayor Mike Haggar and Guy (along with newcomers Dean and Lucia) to stop them once and for all."
"Cabal";"";"shooter";"Cabal is a shooter where the protagonist runs back and forth along the bottom of the screen, ducking and dodging bullets and grenades from the enemy. The roll maneuver from the arcade was not implemented in the PC version. The player returns fire by moving a target around the screen which also moves the player character and may expose him to enemy fire. , "
"Tony Hawk's Pro Skater 2";"Tony Hawk's Pro Skater";"sports";"The sequel to ""Tony Hawk's Pro Skater"" adds many new tricks, while retaining those from the original, and a complete roster of the greatest skaters worldwide. Among the new tricks is the ""manual"", which allows the player character to balance on two wheels. There are also more options for scoring high-trick combos. Trick combinations can also be edited and customized. It is possible to visit some of the most popular skate parks in the world, or create own areas and share them with other players. Players can also create their own skaters, with a choice of clothing and official skateboards."
"Tales of Phantasia";"Tales of...";"role play";"In Tales of Phantasia the player controls a young boy named Cless, who lives together with his parents in a quiet village. It was a day like all the others when Cless decided to go hunting with his best friend Chester. Chasing a wild boar, Cless discovered a strange talking tree in the forest who was pleading him for help. But as soon as it stopped speaking, the two friends heard the sound of an alarm. They returned to the village and found it burnt down, and all its inhabitants murdered. Before Cless' mother died in his arms, she told him this terrible massacre had something to do with the pendant she and her husband gave Cless for his birthday... what connection could there be? Cless decides to visit his uncle who lives in another town, but he doesn't realize his journey will take him to much more remote places than that."
"Tales of Destiny";"Tales of...";"role play";"A great swordsman named Stahn Aileron takes a ride on a giant dragon ship. During the flight, the ship is attacked by pirates. Looking for a weapon to defend himself, Stahn discovers a sword. Very soon he finds out it is not just an ordinary sword, but the legendary talking sword Dymlos, who has been sleeping for many years and who can be awakened only if the world is in grave danger. But what exactly is the danger that awakened Dymlos now? With the help of a few friends, Stahn decides to explore the world and find out what is wrong."
"Aleste";"Aleste";"shooter";"The Earth is threatened by mutant plant life and their brainwashed human followers. Only one force can stop the evil vegetables from taking root: Power Strike, the most versatile jet fighter in the world. Blast the enemy in the air and and on the ground and save the planet from the creeping green menace. , "
"Power Strike II";"Aleste";"shooter";"In the early 1930s, people have lived in poverty since the great depression in 1929. Being laid off from their job, a great amount of pilots became the sky pirates in order to survive. The sea and the sky near Italy have been plundered by them. You earn a living by shooting down these pirates., "
"BurgerTime";"";"action, platforms";"You play as Chef Pepper and your goal is to make giant hamburgers while evil eggs, sausages and pickles chase you around the game area. , , To properly make a hamburger you must assemble all of the ingredients together, dropping them from higher up onto the burger area below. To actually do this you have to let Chef Pepper step over every burger ingredient. As soon as an ingredient (a piece of lettuce for instance) has been stepped on, it will fall to the level below. Falling food will squish any enemy following you and will also ""bump"" any other ingredient below it farther down. Also, as an emergency defense against the enemy food, you can collect pepper shakers which will allow you to puff out a small pepper cloud that will momentarily stun enemies, allowing you to walk past them."
"The Pagemaster";"";"platforms";"The Pagemaster was released in conjunction with the Macaulay Culkin part action/part cartoon feature film released in 1994. Guide your character through a selection of levels based around themed books, ranging from Horror to Adventure and Fantasy worlds. You can use magic and stomp enemies to death by jumping on their head. Enemies include bats, flying books, giant hands, ghosts, pirates and many more."
"Atomino";"";"puzzle";"Build molecules out of the atoms provided - but watch for double, triple or four way atoms that will stop you from completing your task!"
"Langrisser";"Langrisser";"strategy";"Set in a typical medieval fantasy setting and features traditional turn-based combat, the player controls several generals who can command up to eight different units ranging from ordinary soldiers and archers to more exotic creatures like mermen or lizards.The generals fight alongside their units, however they are much more powerful and are able to use more diverse commands than just moving and attacking, like recovering a small amount of HP or casting spells. Each unit has certain strengths and weaknesses; for example soldiers are good against archers but weak against cavalry etc."
"Death Bringer";"";"role play";"The land of Mezron is in turmoil. The evil wizard Azazael has been resurrected and is now on the search for five gems which will grant him ultimate Power. You are a adventurer that has the task to stop the wizard. On your way you'll face medusas, evil cults of priestesses and many undead foes."
"Spin Pair";"";"puzzle";""
"Magical Quest Starring Mickey Mouse, The";"";"platforms";"Mickey's mission is to save his dog Pluto, who's been kidnapped and kept inside emperor Pete's castle, in a magical land, guarded by mysterious creatures. The originality of the game lies on the possibility of wearing different costumes to incorporate different characters, all taken from old Disney cartoons. Each one has a special ability. As a wizard, Mickey has magical powers; as a fireman, the mouse can deal with fire; and, as a climber, he can reach the top of high platforms."
"Mortal Kombat 4";"Mortal Kombat";"vs. fighting";"Mortal Kombat 4 is 1 vs 1 fighting game, similar to the other Mortal Kombat games, but this is first game in series with 3D characters models. The player can choose from 15 different fighters at the start. Many fighters from earlier games in the series make a comeback (like Scorpion, Sub Zero, Liu Kang, Sonya Blade, Johnny Cage etc.) while other new fighters join in, like Shinook (who is the main evil character in this game), Fujin, Jarek, and Kai. Goro returns as a boss."
"Cadillacs and Dinosaurs";"";"brawler";"Based on the Cadillacs and Dinosaurs animated series. The game has 4 playable characters: Jack Tenrec, Hannah Dundee, Mustapha Cairo and Mess O'Bradovich. Gameplay is similar to Capcom's other beat'em ups, players go right, fight against enemies and bosses, collect bonuses and weapons (knives, UZIs etc). In one level, players get into the Cadillac, and can squash enemies."
